base_sample,num_updates,num_iters_run,init_true_cbs_mse,final_true_cbs_mse,true_cbs_mse_rel_reduction,init_mse_240,final_mse_240,mse240_rel_reduction,init_mae_240,final_mae_240,init_psnr_240,final_psnr_240,init_ssim_240,final_ssim_240,init_mse_480,final_mse_480,mse480_rel_reduction,cbs_forward_calls_algorithm,cbs_forward_calls_diagnostic,cbs_adjoint_calls,neural_grad_calls,neural_forward_calls,runtime_sec
train_11,4,5,0.00021994658163748682,0.00017844638205133379,0.18868308512542895,165.848388671875,161.91259765625,0.023731258694420113,3.845892906188965,4.2625322341918945,24.037964656971425,24.14227081636398,0.8837306334440612,0.8836647231700611,169.4003448486328,165.4444122314453,0.023352565313384175,29,0,0,5,0,32.60118770599365
train_12,3,4,0.00021668602130375803,0.00017728377133607864,0.1818402946835409,159.9214630126953,156.88597106933594,0.018981141656504254,3.6859402656555176,4.2088236808776855,24.1960096791844,24.27923611918922,0.8841513407252398,0.884144970671783,163.37168884277344,160.32366943359375,0.018656962113631926,21,0,0,4,0,23.64212417602539
train_13,6,7,0.000327101704897359,0.0002469189930707216,0.24513082819851964,197.92359924316406,188.82568359375,0.045966805798820315,4.018794059753418,4.827883243560791,23.270101421039854,23.474466564904482,0.8777284110316033,0.8775948231309022,201.7567901611328,192.61166381835938,0.04532747738239538,33,0,0,7,0,37.12885808944702
train_14,3,4,0.00014999680570326746,0.00012104582856409252,0.19301062448254713,122.99468231201172,120.82923889160156,0.017605992224256333,3.265800714492798,3.650913953781128,25.336213870336806,25.41335682257217,0.8998915974963826,0.8997913557254871,126.30352783203125,124.10803985595703,0.01738263383263497,21,0,0,4,0,23.70242667198181
train_15,3,4,0.00022963812807574868,0.00019797723507508636,0.13787297983120048,185.2581787109375,180.78004455566406,0.02417239652485611,4.3300652503967285,4.678852081298828,23.55730331961503,23.663572330167987,0.8733791402225588,0.8733155268325747,188.54168701171875,184.02394104003906,0.02396152301002212,21,0,0,4,0,23.639373064041138
train_16,3,4,0.00023859493376221508,0.00019935383170377463,0.16446745720740377,181.61526489257812,177.1357421875,0.024664901971360585,4.429344177246094,4.791838645935059,23.64355373631284,23.75201520782358,0.8741175889716651,0.8741514626571496,185.04241943359375,180.5024871826172,0.024534548699012282,21,0,0,4,0,23.636601448059082
train_17,4,5,0.00023256035638041794,0.00017967339954338968,0.22741174661134744,163.76708984375,160.06832885742188,0.0225854962059661,4.164759635925293,4.67063045501709,24.092810904702034,24.19202311260984,0.8778387156425662,0.8777980798602567,166.84474182128906,163.09295654296875,0.022486685749670967,29,0,0,5,0,32.54855751991272
train_18,3,4,0.00014620349975302815,0.00012586670345626771,0.13909924407496427,139.58872985839844,137.71275329589844,0.013439312503258877,3.494497537612915,3.806617498397827,24.786573665599754,24.84533560870096,0.8939055469817727,0.893925400991365,142.49789428710938,140.6126708984375,0.01322983331159593,25,0,0,4,0,37.63086915016174
train_19,4,5,0.0002223950286861509,0.000197281944565475,0.11292106783608052,183.36102294921875,179.0476837158203,0.023523752016768595,3.9833850860595703,4.347820281982422,23.602006989404746,23.7053901505984,0.8859821679607867,0.8859122327380702,187.0021514892578,182.65142822265625,0.023265632143550426,25,0,0,5,0,28.12057328224182
train_20,5,6,0.0003133622813038528,0.00022380700102075934,0.285788321142122,186.2676544189453,178.7901611328125,0.040143809774480496,4.583552360534668,5.188248157501221,23.53370276377786,23.71164106327764,0.866176895905001,0.8663243121693175,189.18238830566406,181.63006591796875,0.03992085339092422,29,0,0,6,0,32.60254430770874
